,uuid,substance,number,INCI
21218,efa1c157-6eca-4319-8d79-a5d6981dce97,"7-bromo-4-methoxy-1H-pyrrolo[2,3-c]pyridine hydrogen chloride (1:1) monohydrate",944-956-5,
21219,b44f8e1b-04de-4a72-ac1d-5d2d1dcc39d7,"Reaction mass of butane-1,3-diyl diacrylate and 1,3 butanediol diacrylate adduct with 1,3 butanediol monoacrylate",944-962-8,Butane
21220,9599fca4-5176-4bf8-928d-c588d0b8b2cc,Reaction mass of ethyl 2-(cyclopent-1-en-1-yl)-3-oxobutanoate and ethyl 2-cyclopentylidene-3-oxobutanoate,944-982-7,
21221,92ddefed-f1f0-47b1-95ff-87241470d43c,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, tri-C12-13-branched alkyl esters",944-989-5,Propane
21222,220d41af-ff86-4859-bcba-ca37ce66e89f,"Reaction mass of 1,1,2,2,3,3,4,4-octafluoro-1,4-diiodobutane and 1,6-diiodoperfluorohexane",945-003-6,Butane
21223,f12907bb-b644-417d-a86c-e1443f2aad94,"di-tert-butyl 2,2'-(((((2R,5R)-1-(3,5-difluoro-4-(4-(4-fluorophenyl)piperidin-1-yl)phenyl)pyrrolidine-2,5-diyl)bis(2-amino-5-fluoro-4,1-phenylene))bis(azanediyl))bis(carbonyl))(2S,2'S)-bis(pyrrolidine-1-carboxylate)",945-018-8,
21224,671c1f69-ae71-4f00-9e92-03a75a0692df,"2-Propenal, 3-(4-methoxyphenyl)-2-methyl-, (2E)-",945-034-5,
21225,150a0573-5028-4f06-8f57-2f116a5897aa,alumina doped with cobalt,945-045-5,Alumina
21226,7bf1d37d-2edb-4a24-bd2e-6982e0e27ae8,"Reaction mass of hydroxyethyl-DETA, DETA and dihydroxyethyl-DETA",945-047-6,
21227,45eff7da-1c50-4452-bf3f-d462bfbacb39,"rel-(3aR,7aR)-1,1,2,3,3-pentamethyloctahydro-4Hinden-4-one",945-048-1,
21228,87a00186-2c4d-49c6-bc94-f437fd16e114,"Reaction mass of 3-methyl-1-(2,2,3-trimethylcyclopent-3-en-1-yl)cyclohex-3-ene-1-carbaldehyde and rel-(1R)-4-methyl-1-[(1R)-2,2,3-trimethylcyclopent-3-en-1-yl]cyclohex-3-ene-1-carbaldehyde and rel-(1R)-4-methyl-1-[(1S)-2,2,3-trimethylcyclopent-3-en-1-yl]cyclohex-3-ene-1-carbaldehyde",945-049-7,
21229,0faf7319-a4db-41df-a0d3-5907d8383b20,Reaction mass of N-(2-ethylhexyl)-1-[[2-methyl-4-[(4-methylphenyl)azo]phenyl]azo]naphthalen-2-amine and N-(2-ethylhexyl)-1-[[2-methyl-4-[(2-methylphenyl)azo]phenyl]azo]naphthalen-1-amine,945-065-4,
21230,bfe24f81-039a-46f9-bef8-e3df1008a8d1,"Reaction product of m-tolylidene diisocyanate and cyclohexylamine and cyclohex-1,2-ylenediamine and (Z)-octadec-9-enylamine",945-075-9,
21231,344019ac-86fd-4938-82e9-4bd60650485f,n-methylnaphtylmethylamine acetate,945-128-6,
21232,fd185934-d8db-4e16-ac37-683b38f13d24,"Reaction mass of 1-amino-9,10-dioxo-4-(phenylamino)-9,10-dihydroanthracene-2-sulfonic acid and sodium 1-amino-9,10-dioxo-4-phenylaminoanthracene-2-sulphonate",945-131-2,
21233,46988047-ec40-4ab2-9ed2-9ab725738759,"Fatty acids, C18 unsat, reaction products with triethylenetetramin, tetraethylenepentamine and pentaethylenehexamine",945-133-3,
21234,d63ee51f-f5b0-45f1-959c-dd2952d3fa1b,Reaction Products of (3-Glycidyloxypropyl)triethoxysilane and Propyltriethoxysilane with water,945-145-9,
21235,897d8372-95d3-4741-8f6a-2527ab2a027d,"Terpene hydrocarbon alcohols, terpene processing by-products",945-149-0,
21236,dad83f76-4d1e-44b5-99be-d8a0fdcb9235,"Zeolite, iron containing, crystalline, synthetic, non fibrous",945-205-4,Zeolite
21237,8a87f3fc-3bd8-4205-af88-ac8acf68e320,"Reaction mass of tetrasodium (E)-7-((4-(4-chloro-6-(3-(2-(sulfooxy)ethylsulfonyl)phenylamino)-1,3,5-triazin-2-ylamino)-2-ureidophenyl)diazenyl)naphthalene-1,3,6-trisulfonate and (E)-7-((4-(4-chloro-6-(3-(2-(sulfooxy)ethylsulfonyl)phenylamino)-1,3,5-triazin-2-ylamino)-2-ureidophenyl)diazenyl)naphthalene-1,3,6-trisulfonic acid",945-219-0,
21238,f17ef97c-27a8-44c4-b56e-cff0633f0903,"Methyl (1R,3S,4R,5R)-3-amino-5-({2,4,6-tri-O-benzoyl-3-O-[(2S)-1-(benzyloxy)-3-cyclohexyl-1-oxopropan-2-yl]-β-D-galactopyranosyl}oxy)-4-[(2,3,4-tri-O-benzyl-6-deoxy-α -L-galactopyranosyl)oxy]cyclohexanecarboxylate hydrochloride",945-311-0,
21239,30df2863-59db-4017-8baf-389a6ad5d28b,"Reaction mass of Silicic acid, calcium salt and Silicic acid, magnesium salt",945-327-8,
21240,e7827548-0df4-43a7-ba94-1fec3dbac971,propan-2-yl 2-({[(propan-2-yl)oxy]carbonyl}oxy)benzoyl carbonate,945-335-1,
21241,75e22780-df10-4ede-bff9-420363d3dc95,"Reaction product of 2,4-Dinitrotoluene and 2,6-Dinitrotoluene and hydrogen, deaminated",945-453-3,Toluene
21242,5c166e3f-3199-4116-a17c-3d0c0d32df6c,"Reaction mass of (E)-6-ethylidene-4a,5,6,7,8,8a-hexahydro-5,8-methano-4H-1-benzopyran and (E)-7-ethylidene-4a,5,6,7,8,8a-hexahydro-5,8-methano-4H-1-benzopyran and (Z)-7-ethylidene-4a,5,6,7,8,8a-hexahydro-5,8-methano-4H-1-benzopyran",945-481-6,
21243,2c63ef28-4d2d-48c3-a892-2941e5bcd90e,"Reaction products of 4'-amino-4-nitrodiphenylamine-2-sulfonic acid diazo, 4-nitroaniline diazo, aniline-2,5-disulfonic acid diazo and resorcinol, sodium salts",945-517-0,Resorcinol
21244,3b626832-a0b0-40ce-9bf9-61ad98e7ef10,"Reaction products of aniline-4-sulfonic acid diazo with formaldehyde and resorcinol, sodium salts",945-518-6,Resorcinol
21245,3f02b3d9-e084-4ded-a023-6650c9322c8c,"Reaction products of diazotised 3-aminobenzenesulphonic acid coupled with resorcinol and subsequently condensed with formaldehyde, sodium salts",945-519-1,Resorcinol
21246,a2a096ec-55b5-4732-a636-0face428403a,"Reaction products of 1-naphthylamin-5-sulfonic acid diazowith formaldehyde and resorcinol, sodium salts",945-520-7,Resorcinol
21247,874aba5b-aa42-4114-b6ff-d11db8cf23a7,"Reaction products of Glycerin formal and 2-Propenoic acid, 2-methyl-, methyl ester",945-527-5,Glycerin
21248,e6ee9c36-7350-4ed3-8c4e-4e335846d198,Reaction mass of bis(trimethoxysilylpropyl)methylphosphonate and (trimethoxysilylpropyl)methylmethyl phosphate,945-544-8,
21249,34882c3d-3967-40c3-8ac7-c89ec528f338,"Reaction mass of 1,2-dichlorobenzene, 1,3-dichlorobenzene and 1,4-dichlorobenzene",945-571-5,
21250,5d5ad022-998f-4543-8807-4cb583d52f63,methyl (2R)-2-amino-3-phenylpropanoate hydrochloride,945-660-9,
21251,917165ff-bba7-41a9-bc3b-4914d7b80973,Reaction mass of dieuropium tricarbonate and digadolinium tricarbonate and disamarium tricarbonate,945-733-5,
21252,349a7a68-fed6-4ad6-938e-d80baa4fb3e2,Reaction mass of ethyl dodecanoate and ethyl hexadecanoate and ethyl tetradecanoate,945-734-0,
21253,bd608af3-d011-41d5-8fa5-b7e9bbe31214,"1,5,10-trimethylcyclododeca-1,5,9-triene, epoxidised",945-746-6,
21254,73490a3a-721f-4bdd-9b88-976c7cebd2c4,Vanadium diascorbate,945-749-2,
21255,8ed9154f-298c-4eff-965e-eae980437a0a,"9,12-Octadecadienoic acid (9Z, 12Z)-, anhydride with 2,2-dimethylpropanoic acid",945-881-0,
21256,463b07b9-3de7-4a93-bea7-e46db7f73951,"Dipentaerythritol hexaesters of 3,5,5-trimethylhexanoic and n-heptanoic acids",945-883-1,
21257,7ac7e872-0afe-4233-b090-1bbdb81a62c8,"Zirconium oxide, hafnium and ytterbium doped",945-888-9,
21258,bc4bd72a-696e-481a-bdcf-7d7fe4f9d1d0,"Reaction products of slack wax (petroleum), oxidized, esterified with n-butanol",945-889-4,
21259,902a7e10-0f1e-49f7-824c-949baeb45e1d,Reaction mass of glyoxylic acid and 814-623-8EC number 945-891-5,945-891-5,
21260,dfba569a-c1e3-4890-a68b-06253f74e3d6,"Petroleum gas oil fraction, co-processed (catalytic cracking) with renewable hydrocarbons of plant and/or animal origin",945-893-6,
21261,d7e95822-70c4-4569-8da5-897951609b65,Essential oil of Canarium commune (Burseraceae) obtained from gum by steam distillation,945-898-3,
21262,c72288cb-534a-4060-a18b-813e0521895c,"Reaction mass of meso-2-{[4-(2-{4-[(oxiran-2-yl)methoxy]phenyl}-1,1-dichloroethylidene-2 yl)phenoxy]methyl}oxirane and 2RS)-2-({4-[2-(4-{[(2RS)-oxiran-2-yl]methoxy}phenyl)-1,1-dichloroethylidene-2-yl]phenoxy}methyl)oxirane",945-909-1,
21263,100c1a79-ab1b-4209-967c-d2803d3e7850,"2-((8S,10R,11R,13S,14S,16S,17R)-11,17-dihydroxy-10,13,16-trimethyl-3-oxo-6,7,8,9,10,11,12,13,14,15,16,17-dodecahydro-3H-cyclopenta[a]phenanthren-17-yl)-2-oxoethyl ethyl carbonate",945-919-6,
21264,c98e5ba9-c1b2-457a-9eeb-d4914757abe0,Reaction mass of 1-methyl-4-(4-methylpentyl)cyclohex-3-ene-1-carbaldehyde and 1-methyl-3-(4-methylpentyl)-3-cyclohexene-1-carboxaldehyde,945-920-1,
21265,853241a5-b20f-44a8-be16-d8cbc0514eb5,"Reaction mass of rel-(2S,4R,6S)-2,4,6-trimethyl-4-phenyl-1,3-dioxane and rel-(2S,4S,6S)-2,4,6-trimethyl-4-phenyl-1,3-dioxane",945-924-3,
21266,682f15f3-1863-49b2-8e34-d15fea08e190,"Reaction mass of 3,7-dimethylocta-1,6-diene and rel-(1R,2S,5R)-2,6,6-trimethylbicyclo[3.1.1]heptane",945-939-5,
21267,c9606cc9-9566-4817-afac-daadac503bd1,"Reaction mass of 1-(2,6,6-trimethylcyclohex-2-en-1-yl)pentan-3-one and 1-(2,2,6-trimethylcyclohexyl)pentan-3-one",945-940-0,
21268,72f78a28-c5fd-4b04-b9d3-fe476e9191af,"Tungsten Oxide (WO3), caesium and tin-doped",945-942-1,
21269,412d4206-643e-4d82-8c84-9003d58a640f,"Reaction mass of 3-O-acetyl-1,5-anhydro-4-butyl-2,4-dideoxy-2-methyl-D-xylitol and (2R,3S)-2-methyloctane-1,3-diyl diacetate",945-946-3,Xylitol
21270,fef6f90c-c748-4a0d-a6df-91e821efa645,"reaction mass of 1-(3,3-dimethylcyclohex-1-en-1-yl)ethanone and 2,6,6-trimethylcyclohept-2-en-1-one",945-947-9,
21271,e1bd5be0-e369-41d9-9269-f00153cee32a,3-Mercaptopropyl-functionalized silica gel,945-952-6,Silica
21272,2f5af3f7-484e-4e24-9aa3-28c69c8bf774,tert-butyl (2S)-2-(3-fluoro-4-phenylphenyl)propanoate,945-962-0,
21273,1dcf16df-3065-450c-8f13-4722a742d3d4,Reaction mass of methyl 2-({(E)-[4-(4-hydroxy-4-methylpentyl)cyclohex-3-en-1-ylidene]methyl}amino)benzoate and methyl 2-({(E)-[3-(4-hydroxy-4-methylpentyl)cyclohex-3-en-1-ylidene]methyl}amino)benzoate and methyl 2-({(Z)-[4-(4-hydroxy-4-methylpentyl)cyclohex-3-en-1-ylidene]methyl}amino)benzoate and methyl 2-({(Z)-[3-(4-hydroxy-4-methylpentyl)cyclohex-3-en-1-ylidene]methyl}amino)benzoate,945-986-1,
21274,f201bcb3-121d-4961-abe0-31be38e600b6,Condensation products of N-(2-aminoethyl)octadecanamide and N-(2-aminoethyl)hexadecanamide with sebacic acid,945-989-8,Sebacic Acid
21275,263246df-631f-4685-b756-2c00bfc434b9,Condensation products of N-(6-aminohexyl)-12-hydroxyoctadecanamide and sebacic acid,945-990-3,Sebacic Acid
21276,8a68890e-5f32-4ec9-b0bc-591084c68509,"zirconium(IV) oxide, stabilised with erbium(III) oxide, gadolinium(III) oxide and yttrium(III) oxide",946-001-8,
21277,4dfd11e1-6054-4a14-9f4c-61d3f25173e3,"3-Butoxy-7-ethoxy-4,6-difluoro-dibenzothiophene",946-002-3,
21278,65552964-b4dc-4150-b938-5584cba35ff9,"Schinus terebinthifolius, ext.",946-006-5,
21279,a0ce1a45-6a50-46d4-b03f-5293669d95d0,"Reaction mass of rel-(3aR,4R,5S,7R,7aR)-5-(3-hydroxyprop-1-yn-1-yl)octahydro-1H-4,7-methanoinden-5-ol and rel-(3aR,4R,7R,7aR)-octahydro-5H-4,7-methanoinden-5-one",946-008-6,
21280,f24276a6-9ffc-4664-a0fd-06003da030a9,"Lavender, Lavandula hybrida, ext.",946-009-1,
21281,049604c5-8f0e-47e5-ae58-ae29930816d5,"Condensation products of fatty acids, tall oil with 2-amino-2-ethylpropanediol",946-010-7,Propanediol
21282,40109e9f-fa9c-4393-b14c-08dbc16bebdb,"Reaction product of mixed inorganic base and acid resulting in complex boron, potassium, fluoride and potassium fluoride constituents",946-013-3,
21283,d73a93a0-a752-43d4-98f3-d58759f48adb,"Reaction product of mixed inorganic base and acid resulting in complex boron, potassium and fluoride constituents in powder form.",946-014-9,
21284,b47fa0ec-c5fe-486c-a504-2633f20f09e3,"Reaction mass of 2-(2,2,3-trimethylcyclopent-3-en-1-yl)prop-2-enal and 2,5-bis(2,2,3-trimethylcyclopent-3-en-1-yl)-3,4-dihydro-2H-pyran-2-carbaldehyde",946-017-5,
21285,e4474b5a-09b5-4b88-8044-1691cdca117f,"Reaction mass of methyl rel-(1R,3R)-3-methylcyclohexanecarboxylate and methyl rel-(1R,3S)-3-methylcyclohexanecarboxylate",946-034-8,
21286,f58df2d3-e2df-40b6-a7fc-f47bd5dda952,Essential oil of Boswellia carterii (Burseraceae) obtained from gum by distillation,946-037-4,
21287,2cc0a105-95c3-46d2-b6be-a6c2ea310428,Reaction mass of trimethylolpropane triacrylate and hexamethyleneimine,946-043-7,Propane
21288,32ae4620-f678-498a-b585-d74a5e52fb29,"Poly(oxy-1,2-ethanediyl), α-(carboxymethyl)-ω-hydroxy-, C16-18 (even numbered) and C18-unsatd. alkyl ethers",946-061-5,
21289,1dd00342-2e40-4496-a750-437b1d361ad2,"Reaction mass of 3,5,5-Trimethylhexan-1-yl 3-isocyanato-4-methylphenylcarbamate and 3,5,5-trimethylhexan-1-yl 5-isocyanato-2-methylphenylcarbamate",946-063-6,
21290,b38ccda6-ac0b-4fdd-95ba-7406960a9b90,"Reaction mass of methyl rel-3-[(1R,2R)-2-hydroxycyclohexyl]propanoate and methyl rel-3-[(1R,2S)-2-hydroxycyclohexyl]propanoate and rel-(4aR,8aR)-octahydro-2H-chromen-2-one and rel-(4aR,8aS)-octahydro-2H-chromen-2-one",946-064-1,
21291,05858fc8-ee85-48cb-a19e-d490f8f1285c,"Reaction mass of [3-methyl-1-(2,2,3-trimethylcyclopent-3-en-1-yl)cyclohex-3-en-1-yl]methanol and rel-{(1R)-4-methyl-1-[(1R)-2,2,3-trimethylcyclopent-3-en-1-yl]cyclohex-3-en-1-yl}methanol and rel-{(1R)-4-methyl-1-[(1S)-2,2,3-trimethylcyclopent-3-en-1-yl]cyclohex-3-en-1-yl}methanol",946-070-4,
21292,3e9e90ff-24a7-4ca4-bb37-f533480e9cb2,Reaction products of sodium glucoheptonate with iron sulfate and ammonium hydroxide,946-072-5,Ammonium Hydroxide
21293,93f9470e-1d9b-42ba-990c-3c6ae3a712b3,"Calcium hydrosilicate, reaction product of natural quartz sand and technical lime by a hydrothermal and tribochemical process",946-103-2,Silica
21294,69c1f4d1-ee25-4732-8fd0-5e3bcac5165b,"N,N‘-di-C16-18 (even numbered) and C18-unsatd. alkyl[1,2-ethanediylbis(amino-3,1-propanediyl)]diamines",946-124-7,Propane
21295,0b8b4dcb-df86-4f00-909b-8706a3d5505f,"Reaction mass of potassium 2-anilino-5-(2,4-dinitroanilino)benzenesulphonate and sodium 2-anilino-5-(2,4-dinitroanilino)benzenesulphonate",946-126-8,
21296,166fc4ab-1c64-46c1-9a89-fec7fa7ff54c,"disodium [N, 2-[(2-hydroxy-5-nitrophenyl)azo]-3-oxobutyramidato(2-)][3-hydroxy-4-[(2-hydroxy-1-naphthyl)azo]-7-nitronaphthalene-1-sulphonato(3-)]chromate(2-)",946-134-1,
21297,c36729a9-4dd7-4660-9e22-cfc9689a9df1,"Reaction mass of Trisodium tris(D-gluconato(2-)-κO1,κO2)ferrate(3-) and Sodium chloride",946-138-3,
21298,f95a4e6b-b381-47d6-ac4d-8aa7a206e5db,"Reaction mass of bis(2-ethylhexyl) terephthalate, butyl 2-ethylhexyl terephthalate, and dibutyl terephthalate",946-149-3,
21299,af59685c-73d2-419d-b259-ef9a0ea9755e,Reaction mass of diisobutylaluminiumcyclohexylamine and (cyclohexylamino)(isobutyl)aluminium hydride,946-162-4,
21300,e8a7727b-5d4b-4e49-9741-64d36b48ebdf,"2,20:3,19-Dimethano-2,3,4a,5a,6a,7a,8a,9a,10a,11a, 12a,13a,14a,15a,16a,17a,19 ,20,21a,22a,23a,24a,25a,26a,27a,28a,29a,30a,31a,32a,33a,34a-dotriacontaazabispentaleno [1''',6''':5'',6'',7''] cycloocta[1'',2'',3'':3'',4'']pentaleno[1'',6'':5',6',7']cycloocta[1',2',3':3',4']pentaleno[1',6':5,6,7]cycloocta[1,2,3-gh:1',2',3'-g'h']cycloocta[1,2,3-cd:5,6,7-c'd']dipentalene-1,4,6,8,10,12,14,16,18,21,23,25,27,29,31,33-hexadecone, hexadecahydro-, stereoisomer,2,18:3,17-Dimethano-2,3, ,4a,5a,6a,7a,8a,9a,10a,11a,12a,13a,14a,15a,17,18,19a, 20a,21a,22a,23a,24a, 25a,26a,27a,28a,29a,30a-octacosaazabispentaleno[1''',6''':5'',6'',7'']cycloocta [1'',2'',3'':3'',4''] pentaleno[1'',6'':5',6',7']cycloocta[1',2',3':3',4']pentaleno[1',6':5,6,7]cycloocta[1,2,3-cd:1',2',3'-gh]pentalene-1,4,6,8,10,12,14,16,19,21,23,25,27,29-tetradecone, tetradecahydro-, stereoisomer, 1H,4H,12H,15H-2,14:3,13-Dimethano-5H,6H,7H,8H,9H,10H,11H,16H,17H,18H,19H,20H,21H,22H-2,3,4a,5a,6a,7a,8a,9a,10a,11a,13,14,15a,16a,17a,18a,19a,20a,21a,22a-eicosaazabispentaleno [1'',6'':5',6',7']cycloocta[1',2',3':3',4']pentaleno[1',6':5,6,7]cycloocta[1,2,3-cd:1',2',3'-gh]pentalene-1,4,6,8,10,12,15,17,19,21-decone, decahydro-, stereoisomer",946-188-6,
21301,3aaf939b-d4f7-4084-bace-8f8ee37dae0f,"1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-(C12-14(even numbered) acyl) derivs., hydroxides, inner salts",946-191-2,
21302,a339c2a5-a2ec-4daf-ae77-0d94a135a838,"Reaction mass of 2,6,6-trimethylcycloheptanone and 3-(1,1-dimethoxyethyl)-1,1-dimethylcyclohexane",946-194-9,
21303,2ef31428-e638-4b2c-bb99-0dd2da4743f3,"Benzenesulfonic acid, mono-C20-24 (even)-sec-alkyl derivs., para-, sodium salts",946-212-5,
21304,1b2b0db5-8657-44e5-9568-5e52d7efa8c7,"Esterification product of Nonanoic acid with C9-11, C10-rich alcohols, branched",946-239-2,
21305,8299ece3-d5bf-49c7-9c6c-736f4ce3ab09,"Reaction mass of 3,5,6,6-tetramethyl-4-methyleneheptan-2-one and (E)-3,4,5,6,6-pentamethylhept-3-en-2-one",946-245-5,
21307,4982e3a2-a7a1-4b09-bf9f-76e78afe5755,"Reaction mass of 3,7-dimethyloct-7-en-1-yl 3-methylbut-2-enoate and 3,7-dimethyloctyl 3-methyl-2-butenoate and citronellyl 3-methylcrotonate",946-248-1,
21308,d2cbea3e-a806-4116-9678-7c50bc86133b,Reaction mass of hentriacontan-16-one and pentatriacontan-18-one and tritriacontan-16-one,946-252-3,
21309,2efcf752-f9fe-4846-b9cf-937a4155c339,Essential oil of Spearmint obtained from the aerial part of Mentha spicata and/or Mentha cardiaca (Lamiaceae) obtained by distillation,946-253-9,
21310,a5a3e764-7326-459f-b08a-a4eecc11f933,"C12-18-(even numbered, C18 unsaturated)-alkylamines acetates",946-260-7,
21311,39d69ca1-68a5-4746-8dfa-0ff3314a1d5d,Reaction products of sodium glucoheptonate with copper sulfate and ammonium hydroxide,946-272-2,Ammonium Hydroxide
21312,e7d8c1a2-d673-4127-8ec4-c0ceb3ac5a12,"2,6,6,7,8,8-hexamethyl-3,3a,4,5,5a,6,7,8-octahydro-2H-indeno[4,5-b]furan, 1,1,2,3,3-pentamethyl-1,2,3,5,6,7-hexahydro-4H-inden-4-one and rel-(3aR,7aR)-1,1,2,3,3-pentamethyloctahydro-4H-inden-4-one",946-273-8,
21313,ff4260c2-287d-44c3-9eca-db59e2523827,"Reaction mass of rel-(1R)-1-[(1R)-3,3-dimethylcyclohexyl]ethanol and rel-(1R,2S)-2,6,6-trimethylcycloheptanol",946-281-1,
21314,6f36aaa8-2361-44b6-9250-49fca52dbd5e,"reaction mass of [(1R*,5S*)-3,3,5-trimethylcyclohexyl] acetate and [(1S*,5S*)-3,3,5-trimethylcyclohexyl] acetate",946-282-7,
21315,0a1287eb-4e69-45b3-86ec-3dae704ab2a8,(cyclohex-3-en-1-yl)methyl 2-hydroxypropanoate,946-283-2,
21316,6ca72efd-4abd-4b55-92f2-bc77a58e46c1,(1S)-1-cyclopropylethanamine; (2R)-2-hydroxy-2-phenyl-acetic acid,946-290-0,Acetic Acid
21317,dc5f7d76-7e2f-430c-98e4-fd43e7373333,Di-(4)-cyclooct-4-en-1-yl carbonate,946-305-0,
21318,190ec3ae-9c86-4619-9b94-ed6969cb29ab,"Reaction products of petrolatum (petroleum), oxidized, esterified with methanol",946-318-1,
21319,595b1e1f-774e-4761-90b1-6f7b9c2aab80,"Reaction mass of 6,6'-(2,2-Propanediyl)bis(3-phenyl-3,4-dihydro-2H-1,3-benzoxazine) and N-({4-[2-(3-phenyl-3,4-dihydro-2H-1,3-benzoxazin-6-yl)propan-2-yl]phenoxy}methyl)aniline",946-322-3,Propane
21320,b1e82dc7-c0f2-4840-befc-7e28b09db2be,Reaction Mass of (4R)-4-isopropenyl-1-methylcyclohexene and (4R)-4-(2-methoxypropan-2-yl)-1-methylcyclohexene,946-324-4,
21321,dfbf4162-99d3-4faa-9e5e-a5c43a26816e,Reaction products of sodium glucoheptonate with zinc sulfate and sodium hydroxide,946-329-1,Zinc Sulfate
21322,aead62ee-5485-4f73-a930-1f08d1d2d4a3,Reaction mass of sodium tris [[(E)-5-((3-sulfophenyl)diazenyl)quinolin-8-olate (-1)] chromate (3-)] and potassium [[(quinolin-8-olate (-1)] bis[(E)-5-((3-sulfophenyl)diazenyl)quinolin-8-olate (-1)] chromate (2-)],946-338-0,
21323,aa35099a-fe7b-4bc1-95ba-12720bcc4ad6,"Reaction mass of methyl 2-[[(E)-(2,4-dimethylcyclohex-3-en-1-ylidene)methyl]amino]benzoate and methyl 2-[[(Z)-(2,4-dimethylcyclohex-3-en-1-ylidene)methyl]amino]benzoate",946-342-2,
21324,10205eef-a3e2-42f3-9d17-56468f549992,[5-(methanesulfonyl)pyridin-2-yl]methanaminium chloride,946-348-5,
21325,d21a5f15-0f70-4783-a406-347679eed993,"Phosphoric acid, chromium(3+) salt (1:2.5)",946-354-8,Phosphoric Acid
21326,a6870399-9ffe-40e9-a98e-1e91af8280fa,Reaction products from Nerolidol by dehydration,946-360-0,
21327,434afb92-db6b-45d0-a90e-b16ded872018,Reaction mass of N-{1-[(2-methylpropane-2-sulfonyl)methyl]cyclohexyl}-2-methylpropane-2-sulfinamide and 2-methylpropane-2-sulfinamide,946-363-7,Propane
21328,3f842ffa-5132-4043-b373-8498d14d16d0,"Reaction product of D-Glucopyranoside, methyl; esterified with oleic acid, methyl ester",946-364-2,Oleic Acid
21329,ff86cff3-e42f-482f-a97c-6a0e79a1028a,"Hydrocarbons, C9-C10, aromatics, >1% naphthalene",946-365-8,
21330,5f917c07-ea68-46cb-b856-9d7ab1d1cb3f,"Reaction products of diazotised 2-amino-5-{[2-(sulfooxy)ethyl]sulfonyl}benzenesulfonic acid coupled with diazotised 2,4-diaminobenzenesulphonic acid, subsequently coupled with diazotised 2-[(3-aminophenyl)sulfonyl]ethyl hydrogen sulfate, potassium sodium salts",946-366-3,
21331,e486095b-005e-467a-9171-870cb1cf788c,"4,4'-((4-(phenylamino)naphthalen-1-yl)methylene)bis(N,N-dimethylbenzenamine)",946-373-1,
21332,c0608d9c-ccba-4afb-9513-2071487bdd3d,Reaction mass of 6-Chloro-2-{4[ethyl(2-hydroxyethyl)amino]phenyl}-1-methylbenzo[cd]indolium hydroxide and 6-chloro-2-[4-[ethyl(2-hydroxyethyl)amino]phenyl]-1-methylbenz[cd]indolium acetate,946-378-9,
21333,a8e8030a-0b7d-4795-bdf9-29bd4ead0f5f,Reaction mass of 2-ethylhexyl (3-isocyanato-4-methylphenyl)carbamate and 2-ethylhexyl (5-isocyanato-2-methylphenyl)carbamate and 2-ethylhexyl (3-isocyanato-2-methylphenyl)carbamate,946-383-6,
21334,07c890b7-86a5-4e17-acad-496d59b83f31,Reaction products of sodium glucoheptonate with manganese sulfate and sodium hydroxide,946-400-7,Sodium Hydroxide
21335,1b353d46-7ae6-4efe-bd8f-e7c21c6b6fa0,Resinoid of Boswellia Carterii (Burseraceae) obtained from exudate by ethanol extraction,946-413-8,
21336,25c7dc7e-0349-4b3b-9a40-fe785aa58131,Resinoid of Ferula galbaniflua (Apiaceae) obtained from the exudate by hydrocarbon ester alcohol extraction.,946-414-3,
21337,0b128c49-50c4-47e4-af01-68c3ab049c57,Reaction products of decanoic acid and lauric acid with glycerol and polyglycerol,946-420-6,Lauric Acid
21338,7f509afd-1f5c-4193-b4c7-d4f7d720fd32,"reaction mass of 2-[[1-(chloromethyl)-2-[[4-(oxiran-2-ylmethoxymethyl)cyclohexyl]methoxy]ethoxy]methyl]oxirane and cis-1,4-bis[(2,3-epoxypropoxy)methyl]cyclohexane and trans-1,4-bis[(2,3-epoxypropoxy)methyl]cyclohexane",946-427-4,
21339,5965f3bd-39bf-465c-b157-c6e22e81a593,"4-methyl-5-(2-(1,1,1-trifluoro-2-methylpropan-2-yl)pyridin-4-yl)thiazol-2-amine dihydrobromide",946-432-1,
21340,6e6c27b5-b769-42df-83c5-80b8ec81ed0d,Essential oil of Petitgrain obtained from the leaves and twigs of Citrus aurantium (Rutaceae) by distillation,946-433-7,
21341,a358ea9e-f43c-48e9-a701-38ea1e807590,"nitrate amine salt of N-[3-dimethylaminopropyl]- C14-C20 amides, saturated, reaction products with ethylene oxide",946-436-3,
21342,705e273d-5a0d-456a-8646-2e6ee97fba8c,"Trimethylolpropane, mixed triesters with decanoic, heptanoic, octanoic, and 3,5,5-trimethylhexanoic acids",946-440-5,Propane
21343,28521a4b-0c0f-44a8-8aea-e0b57e50f987,Absolute of Cistus ladaniferus (Cistaceae) obtained from labdanum resinoid by ethanol extraction.,946-441-0,
21344,32ffb13e-d569-45a6-afb9-66c31244d078,Resinoid of Cistus ladaniferus (Cistaceae) obtained from labdanum gum by organic solvents extraction,946-442-6,
21345,fa116c07-678d-4740-84f2-7fe109c32e41,"Benzenesulfonic acid, 4-C15-16-sec-alkyl derivs.-, compd. with 1-aminopropane-2-ol",946-448-9,Propane
